"Start Time,""Period (min)"",""NE Name"",""FEGE"",""VS.FEGE.RXMEANSPEED (kbit/s)"",""VS.FEGE.TXMEANSPEED (kbit/s)"""
"04/19/2018 07:30:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",213487.939,818766.251"
"04/19/2018 07:30:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",693166.323,82053.568"
"04/19/2018 07:30:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",20550.963,19072.492"
"04/19/2018 07:30:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 07:30:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",201161.185,663533.812"
"04/19/2018 07:30:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 07:30:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.034,0.256"
"04/19/2018 07:30:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 07:30:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",545263.775,69525.994"
"04/19/2018 07:30:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",18846.222,17644.898"
"04/19/2018 07:30:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",140187.216,448398.82"
"04/19/2018 07:30:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",18493.304,17572.553"
"04/19/2018 07:30:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 07:30:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.036,0.256"
"04/19/2018 07:30:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",372933.063,56933.36"
"04/19/2018 07:30:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 07:30:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.034,0.256"
"04/19/2018 08:00:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.335,0.261"
"04/19/2018 08:00:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",119042.822,420791.665"
"04/19/2018 08:00:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",344705.004,40787.232"
"04/19/2018 08:00:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",14731.92,13340.828"
"04/19/2018 08:00:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.027,1.026"
"04/19/2018 08:00:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 08:00:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 08:00:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",269333.259,911862.063"
"04/19/2018 08:00:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",758165.022,106507.465"
"04/19/2018 08:00:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",32401.693,30128.779"
"04/19/2018 08:00:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 08:00:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",235724.711,728712.269"
"04/19/2018 08:00:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 08:00:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.034,0.256"
"04/19/2018 08:00:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.35,0.262"
"04/19/2018 08:00:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",587963.327,79591.154"
"04/19/2018 08:00:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",29145.561,26681.663"
"04/19/2018 08:00:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",174820.335,570322.408"
"04/19/2018 08:00:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",29256.047,28128.649"
"04/19/2018 08:00:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.338,0.261"
"04/19/2018 08:00:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.037,0.256"
"04/19/2018 08:00:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",467968.488,63641.998"
"04/19/2018 08:00:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:00:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 08:00:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.035,0.256"
"04/19/2018 08:30:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.335,0.261"
"04/19/2018 08:30:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",137577.774,451057.824"
"04/19/2018 08:30:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",361129.915,45248.743"
"04/19/2018 08:30:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",21103.754,19610.813"
"04/19/2018 08:30:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 08:30:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 08:30:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 08:30:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",296101.895,965634.73"
"04/19/2018 08:30:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",784168.729,103405.387"
"04/19/2018 08:30:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",46322.361,43447.653"
"04/19/2018 08:30:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 08:30:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",274391.823,838685.335"
"04/19/2018 08:30:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.021,1.021"
"04/19/2018 08:30:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 08:30:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.321,0.26"
"04/19/2018 08:30:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",668553.528,87129.964"
"04/19/2018 08:30:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",40409.354,38073.068"
"04/19/2018 08:30:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",220776.199,694470.22"
"04/19/2018 08:30:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",44770.276,42276.948"
"04/19/2018 08:30:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.335,0.261"
